well_no,well_name,owner,depth,aquifer_co,swl,pwsid,usgs_id,data_sourc,comments,aka2,aka3,chapid,grazing_di,welltype,well_use,well_statu,sdwa_type,nn_agency,USE,lat,long,Chapter,Al,Alkalinity_Total,As,Ba,Be,Bicarbonate,Bromide,Ca,Carbonate,Cd,Chloride,Conductivity,Corrosivity,Cr,Cu,DissolvedOxygen,Fe,Fluoride,Hardness,Hg,K,Mg,Mn,Mo,Na,Ni,Nitrate,Nitrite,Pb,pH,Phosphate,Ra_226,Ra_228,Ra_Total,Rn_222,Salinity,Sb,Se,Sn,SpecificConductance,Sr,Sulfate,Temperature,Tl,TotalDissolvedSolids,Turbidity,U,V,Zn
01A-115,01-060-09.31X07.30,TRIBE O&M,430,"40",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"18","1",WW,DOM,ACT,UWS,Western,Domestic,36.3941459656,-111.417930603,Coppermine,,,"3.53138992",,,,,"18.43007991",,"0.138753959","7.38788085",,,"0.683956096",,,,"0.28205253",,,"1.476450361","8.479952256",,"0.978888681","6.801700349","0.711316194","5.70754009",,"2.645135697",,,,,,,,"0.123639477",,"0.577670265",,,"10.10226055",,,,,"1.603135354",,
01A-151,01-044-01.75X07.95,UNKNOWN,820,"40",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"18","1",WW,OTH,INA,UWS,Western,Other,36.6347084045,-111.532104492,Coppermine,,,"0.739635884",,,,,"22.13238971",,,,,,,,,,,,,,"13.1994322","0.88831695",,,,,,,,,,,,,,,,,,,,,,,,"0.657208982",,"55.04604446"
01T-518,01-043-08.25X13.61,TRIBE O&M,1116,"40",957,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,Tank-Middle Mesa,,"18","1",WW,UNK,ACT,UWS,Western,Unknown,36.5530471802,-111.399040222,Coppermine,"60",,"2.7","71.7","2",,,"29.7",,"2",,"247",,"5","4.9",,"53.2",,,"0.014","2.12","6.09","5",,"14.4","10",,,"3","8.92",,"0.107","0.475","0.582",,,"10","5",,,,,"23.1","10",,,"0.93","7.5","157"
01K-243,01-044-03.52X03.33,TRIBE O&M,1287,"40",1243,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"18","1",WW,UNK,ACT,UWS,Western,Unknown,36.7013778687,-111.564605713,Coppermine,,,"1.37408022",,,,,"16.59577375",,,,,,,,,,,,,,"10.8993209","1.958835869",,,,,,,,,,,,,,,,,,,,,,,,"0.351586017",,"136.0548742"
T2-606,,,0,"0",0,,0,,,,,"18","3",WW,OS,ACT,UWS,Western,Livestock,36.30107,-111.44279,Coppermine,,,"4.58219231",,,,,"21.12489363",,,,,,,,,,,,,"0","5.158122155",,,"0",,,,,,,,,,,,,,,,,,,,,,"3.518988065",,
17M-91A,,TRIBE O&M,0,"0",0,,0,USGS,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"19","17",WW,LIV,ACT,UWS,Shiprock,Livestock,35.6494483948,-109.683998108,Cornfields,"50",,"2","320","1",,,"98",,"1",,"0.693",,"20","5","6","20",,,,"2.1","20","30","50","100","30","0.1",,"1","7.2",,,,,,"200",,"2",,,,,"21",,,"-10","1",,"30"
17M-99,17 110-08.83X03.67,TRIBE O&M,82,"2",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"19","17",WW,DOM,ACT,UWS,Shiprock,Domestic,35.6969490051,-109.657333374,Cornfields,"50",,"8.596178123","9","1",,,"110",,"1",,"4.62",,"20","15.24933524","6","180",,,,"4.2","30","10","50","1200","3.630194892","46",,"1","5.88",,,,,,"2700","0.6096674","231.9363229","0.577670265",,"10783.94857",,"23",,,"24","100",,"45.43889561"
LEE GEORGE,LEE GEORGE WELL,CHAPTER,0,"2",0,,0,WELL FILES,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"19","17",WW,AGR,UNK,UWS,Shiprock,Agriculture,35.6610145569,-109.691123962,Cornfields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.046829683",,
17-4-5,,,0,"0",0,,0,,,,,"19","17",UNK,UNK,UNK,UWS,Shiprock,Unknown,35.55185583,-109.72632444,Cornfields,"50",,"4","760","1",,,"108",,"1",,"0.5925",,"20","9","9","10",,,,"4.2","19.45","2","50","64.5","30","1.3",,"1","6.86",,,,,,"250",,"4",,,,,"21.2",,,"129.5","1",,"25"
17T-524,17 110-13.00X15.79,TRIBE O&M,554,"6",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"19","17",WW,DOM,ACT,UWS,Shiprock,Domestic,35.5216789246,-109.730392456,Cornfields,"50",,"13","5","1",,,"16.5",,"1",,"0.3235",,"20","5","10.5","45",,,,"2.95","2.9","2","50","62.5","30","1.8",,"1","5.745",,,,,,"100",,"13",,,,,"23.55",,,"101.5","3",,"85"
17T-555,17 110-11.97X03.88,TRIBE O&M,650,"0",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"19","17",WW,LIV,ACT,UWS,Shiprock,Livestock,35.6938972473,-109.713172913,Cornfields,,,"12.45144177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.573121985",,
17K-338,17 111-00.89X11.46,TRIBE O&M,101,"2",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"19","17",WW,DOM,ACT,UWS,Shiprock,Domestic,35.5841712952,-109.766227722,Cornfields,"50",,"9","390","1",,,"170",,"1",,"3.2815",,"20","5","9","25",,,,"1.3","15","76","50","45","30","0.1",,"1","5.655",,,,,,"200",,"9",,,,,"22.85",,,"93","1",,"40"
17K-367,17 110-13.88X10.00,TRIBE O&M,213,"2",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"19","17",WW,DOM,ACT,UWS,Shiprock,Domestic,35.6055603027,-109.745666504,Cornfields,"50",,"1","2400","1",,,"190",,"1",,"2.08",,"20","5","9","100",,,,"4.3","33","59","50","350","30","0.64",,"1","5.99",,,,,,"900",,"1",,,,,"23.2",,,"177","1",,"300"
17-UNKNOWN-3,,,0,"0",0,,0,,,,,"19","17",WW,UNK,UNK,UWS,Shiprock,Unknown,35.6041972477,-109.657957731,Cornfields,"50",,"15","55","1",,,"52",,"1",,"0.965",,"20","5","12","20",,,,"1.2","7.8","2","50","94","30","12",,"1","6.9",,,,,,"400",,"15",,,,,"19",,,"4","12",,"140"
17-UNKNOWN-2,,,0,"0",0,,0,,,,,"19","17",DS,DOM,ACT,UWS,Shiprock,Domestic,35.6793668977,-109.704917734,Cornfields,"50",,"4","60","1",,,"110",,"1",,"3.58",,"20","5","9","10",,,,"1.9","6.4","2","50","25","30","0.52",,"1","5.71",,,,,,"100",,"4",,,,,"26.9",,,"3","1",,"420"
17T-523,17 110-07.95X11.51,TRIBE O&M,279,"6",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"19","17",WW,DOM,ACT,UWS,Shiprock,Domestic,35.583896637,-109.640953064,Cornfields,"50",,"3","320","1",,,"103.5",,"1",,"0.3205",,"20","8","6.5","85",,,,"2.1","13.15","30","50","60","30","7.2",,"1","7.775",,,,,,"100",,"3",,,,,"22.7",,,"-10","1",,"75"
12-7-12,Ellison Well,,0,"0",0,,0,USACE,Added based on USACE site visit.,,,"21","12",WW,UNK,UNK,UWS,FortDefiance,Unknown,36.57902,-109.22561,Cove,"10","247.5","7.2","140","2",,,"62.4",,"2",,"1354","-0.92","5","45",,"279","0.332","285.5","0.05","1","34","72.5","2","236","3","0.53","0.05","10","7.51",,"0.628","1.09","1.718",,,"10","23",,,,,"7.13","6.2","734.05","2.2985","61","13","196"
Aquaduct,Cove #4,BIA,0,"64",0,AZ 432005,0,FIELD CHECKED    7/12/95,Moved 30m WSW to USACE position,,,"21","12",DS,DOM,ACT,REG,FortDefiance,Domestic,36.52962,-109.20277,Cove,"44.8",,"10","15.2","2",,,"58.3",,"2",,"490",,"5","461",,"100",,,"0.05","1.03","8.48","4",,"5.83","10",,,"3","7.73",,"0.056","0.383","0.439",,,"10","5",,,,,"12.2","10",,,,"2.6","5.1"
Cove PM1,Cove #1/309,BIA,17.8,"2",0,AZ 432005,0,FIELD CHECKED     4/4/95,Moved 35m SW to USACE position,,,"21","12",WW,DOM,INA,REG,FortDefiance,Domestic,36.56105,-109.22164,Cove,"51.7",,"9.8","241","2",,,"64.9",,"2",,"839",,"5","16.8",,"100",,,"0.053","1.98","23.2","4",,"88.5","10",,,"3","7.98",,"0.441","0.651","1.092",,,"10","8.5",,,,,"13.2","5.4",,,,"20.8","11.7"
12-16,Cove Spring #1,,0,"0",0,,0,,,,,"21","12",DS,UNK,UNK,UWS,FortDefiance,Unknown,36.5783884306,-109.209414351,Cove,"15",,"6.3","85","0.25",,,"70",,"0.5",,,,"0.5","6",,"460",,"290","0.015","1","29","4.5","1.3","210","3",,,"18",,,,,,,,"0.5","22",,,,,,"1",,,"24","25","220"
Cove PM3,Cove #3,BIA,0,"8",0,AZ 432005,0,FIELD CHECKED    7/12/95,Moved 10m N to USACE position for Pine Water Springs,,,"21","12",DS,DOM,ACT,REG,FortDefiance,Domestic,36.52601,-109.19786,Cove,"7370",,"4.3","84.4","0.33",,,"45.4",,"4.3",,"356",,"12.1","333",,"9470",,,"0.057","7.21","9.91","125",,"5.13","18.7",,,"100","7.72",,"0.287","0.964","1.251",,,"10","5",,,,,"12.6","10",,,,"13.3","9940"
,Cove Chapter House,,0,"0",0,,0,,,,,"21","12",UNK,UNK,UNK,REG,FortDefiance,Unknown,36.58437,-109.19061,Cove,"23",,"4.1","144","2",,,"10.2",,"2",,"247",,"5","15.7",,"106",,,"0.074","2.93","3.38","6.4",,"43.5","1.3",,,"3","7.43",,"1.46","0.591","2.051",,,"10","5",,,,,"21.3","10",,,,"0.56","54.1"
Nez Spring,Nez Spring,,0,"0",0,,0,USACE,Added based on USACE site visit.,,,"21","12",DS,UNK,UNK,UWS,FortDefiance,Unknown,36.53172,-109.26797,Cove,"22",,"3.5","37","2",,,"64.9",,"2",,"345",,"5","5.9",,"319",,,"0.061","0.916","6.38","14.4",,"5","10",,,"3","7.72",,"0.052","0.465","0.517",,,"10","5",,,,,"17","3.4",,,,"2.6","29.2"
Cow Springs,Cow Springs,,0,"0",0,,0,USACE,Added based on USACE site visit.,,,"21","12",DS,UNK,UNK,UWS,FortDefiance,Unknown,36.5547,-109.27467,Cove,"53.2",,"10","402","2",,,"130",,"2",,"719",,"5","10",,"100",,,"0.05","0.3","17.6","3.6",,"14.4","10",,,"3","7.68",,"0.188","0.759","0.947",,,"10","5",,,,,"16.1","4",,,,"5","7.2"
,South Cove Wash,,0,"0",0,,0,,,,,"21","12",UNK,UNK,UNK,UWS,FortDefiance,Unknown,36.53176,-109.21899,Cove,"47.4",,"6","254","2",,,"53",,"2",,"523",,"5","10",,"100",,,"0.05","2.07","17.1","4",,"32.9","10",,,"3","8.41",,"0.167","0.775","0.942",,,"10","5",,,,,"13.4","4.7",,,,"29.8","10"
Yellow Cottonwood Spring,Yellow Cottonwood Spring,,0,"0",0,,0,USACE,Added based on USACE site visit.,,,"21","12",DS,UNK,UNK,UWS,FortDefiance,Unknown,36.56074,-109.15781,Cove,"79.7",,"9.7","194","2",,,"15.4",,"2",,"773",,"5","10.3",,"282",,,"0.068","1.36","4.8","4.6",,"200","10",,,"1.7","7.81",,"0.032","0.297","0.329",,,"10","5",,,,,"12.7","3.4",,,,"128","83.8"
P.H.S. 4-28-59,P.H.S. 4-28-59,,0,"0",0,,0,USACE,Added based on USACE site visit.,,,"21","12",DS,UNK,UNK,UWS,FortDefiance,Unknown,36.57943,-109.21017,Cove,"34.2",,"5.8","55.2","2",,,"46.1",,"2",,"356",,"5","0.86",,"22.5",,,"0.083","0.3","28","3.7",,"235","10",,,"3","7.6",,"0.034","0.837","0.871",,,"6.5","34.3",,,,,"14.2","10",,,,"22.9","32.5"
Red Point Dug Well,Red Point Dug Well,,0,"0",0,,0,USACE,Added based on USACE site visit for Red Rock Sagebrush well,,,"21","12",WW,UNK,UNK,UWS,FortDefiance,Unknown,36.58466,-109.24136,Cove,"30.6",,"5.7","371","2",,,"41.8",,"2",,"1802",,"5","29.4",,"96.6",,,"0.079","0.955","14.4","0.92",,"110","10",,,"1.4","7.56",,"0.107","0.177","0.284",,,"2.4","5",,,,,"14.6","10",,,,"76.6","49.5"
Cottonwood Spring,Cottonwood Spring,,0,"0",0,,0,USACE,Added based on USACE site visit.,,,"21","12",DS,UNK,UNK,UWS,FortDefiance,Unknown,36.57853,-109.20956,Cove,"32.8",,"5.1","92.4","2",,,"66.7",,"2",,"1159",,"5","10",,"43.5",,,"0.074","1.18","24.8","0.84",,"176","10",,,"3","7.43",,"0.032","0.668","0.7",,,"10","21.7",,,,,"21.3","10",,,,"19.5","4.6"
Deer Springs,Deer Springs,,0,"0",0,,0,USACE,Added based on USACE site visit.,,,"21","12",DS,UNK,UNK,UWS,FortDefiance,Unknown,36.50910417,-109.20115717,Cove,"30.9",,"10","19.3","2",,,"46.8",,"2",,"334",,"0.33","10",,"43.2",,,"0.05","0.79","4.03","51",,"3.91","10",,,"3","6.8",,"0.054",,"0.054",,,"10","4.3",,,,,"14.5","3.8",,,,"7.4","3.2"
,Sheep Dip Well,,0,"0",0,,0,,,,,"21","12",UNK,UNK,UNK,UWS,FortDefiance,Unknown,36.571674,-109.1034183,Cove,"90",,"4.21","299","2",,,"44.1",,"2",,"820",,"5","10",,"100",,,"0.05","2.05","19.9","4",,"87.9","10",,,"3","9.72",,,"0.8","0.8",,,"10","1.7",,,,,"13.4","10",,,,"26.3","6.8"
14T-555,BASS LAKE/Coyote Canyon #1,NTUA,2520,"29",0,NM3500274,0,FIELD CHECKED 01/15/1992,Wells on Navajo Nation more than 4.0 miles from an AUM.,Coyote Canyon NTUA No. 1,Bass Lake AKA 14A-79,"22","14",AW,MUN,ACT,REG,Shiprock,Municipal,35.7372436523,-108.658508301,Coyote Canyon,,,"1","113",,"229.44",,"4.8","30.91","1","35.915",,,"9","2",,"1060","0.82","7.1","1",,,"2",,"313.435",,"3.1",,"1","8.85",,,,,,,,"1",,,,"384.765","17",,"886.5",,,,
14K-302,Coyote Canyon Chapter,TRIBE O&M,204,"31",0,"0",0,WELL FILE,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"22","14",WW,DOM,ACT,UWS,Shiprock,Domestic,35.7742919922,-108.618743896,Coyote Canyon,,,,,,"425.92",,"2","55.52",,"9.93",,,,,,,"1.48","5",,,,,,"209.67",,"0.25",,,"9",,,,,,,,,,"870",,"28.34",,,"595",,,,
Black Spot Well,Silversmith Well,,0,"0",0,,0,,,,,"22","14",UNK,UNK,UNK,UWS,Shiprock,Unknown,35.82002,-108.566,Coyote Canyon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"0.223880597014925",,
14K-313,Brown Bull,TRIBE O&M,622,"27",235,"0",0,WELL FILE/FLD CHKD 3/95,Moved 40m NNW to windmil location next to tank on DOQQ & DRG,,,"22","14",WW,DS,ACT,UWS,Shiprock,Livestock,35.6662148918,-108.56841252,Coyote Canyon,"10","200","5","5.5","0.25",,,"422.8",,"0.5","10.55","1730.5","-1.6","5.7","2.1",,"430","1.168","910","0.015","4.03","154","150","0.79","107.5","10",,"0.05","1","7.88",,"0.288","1.31","1.598",,,"0.5","93.5",,,,"1070","4.56","1","1312.5","4.7","2.5","2","140"
CRWNPT PM7,,,2345,"49",385,"0",0,WELL FILE,,,,"23","20",WW,UNK,UNK,UWS,Eastern,Unknown,35.6955490112,-108.144302368,Crownpoint,,,"1","70",,"215",,"2.7","2","1","6.2",,,"0",,,"1010",,"11","0.1","0.9","1.05",,"14","125",,,,,"8.5",,"0.07",,"0.07",,,,"0",,"521",,"61",,,,,"0.01","1","30"
14T-586,KERR MCGEE PUB. WTR. SYS.,TRIBE O&M,750,"31",380,NM3500323,0,FIELD CHECKED  06/16/94,,Kerr McGee Camp,Friendship 1 Well,"22","14",WW,DOM,INA,UWS,Shiprock,Domestic,35.6619644165,-108.515151978,Coyote Canyon,"151","325","21","20","1",,,"270",,,"14.1","2600","-0.37","13.9","3","6.3","482","1.19","1100","0.066","7.43","120","2000","13","140","42.15","0.267","0.1","3.3","7.1",,"2.6","3.71","6.31",,"1000","7.34","64.1",,,,"1345","7.6","5","1700","10.1","3.69","1","346.5"
15-0581,CONOCO #2 (NTUA),NTUA,2377,"49",443.2,NM3503039,0,FIELD CHECKED  03/93,,Crownpoint NTUA 2,15-B2,"23","20",WW,MUN,ACT,REG,Eastern,Municipal,35.6971168518,-108.145187378,Crownpoint,,,"5","161","0.2","221",,"2.25","14","0.2","3.2","509.5",,"10","15",,"55","0.41","12","0.2","1.025","0.97","10","10","108.45","25","0.3","0.3","2","8.655",,"0.5","0.4","0.9",,,"3","5",,,,"52",,"2","345.5","0.11","1.348","10","7.5"
CRWNPT PM5,Crownpoint CANYON WELL PM5,BIA,2544,"45",335,NM3534001,354017108092000,FIELD CHECKED    4/11/95,Moved 25m NW to structure (pump house?) on DOQQ.,,,"23","20",WW,DOM,ACT,REG,Eastern,Domestic,35.6722418199,-108.156391274,Crownpoint,,,"0","50",,"280",,"12","0","1","3.4",,,"0",,,"35",,"51","0","2.2","4.6","10","10","135",,,,"0","8.1",,"0.24",,"0.24",,,,"0",,"695.5",,"140",,,,,"0.63","2","20"
15-0579,Crownpoint #1,NTUA,2345,"49",423,NM3503039,354105108091000,FIELD CHECKED  03/93,,Crownpoint NTUA 1,15-B1,"23","20",WW,MUN,ACT,REG,Eastern,Municipal,35.6859741211,-108.154060364,Crownpoint,,,"5","100","0.2","234",,"4.9","14.5","0.2","7.7","522.5",,"20","15",,"105.5","0.8","20","0.2","3.42","2","12","10","85.5","25","0.3","0.3","1","8.545",,"0.6","0.4","1",,,"3","5",,,,"82",,"2","361","0.17","1","10","10.5"
15-6-5,Saten's Pass Well,,0,"0",0,,0,,,,,"23","20",UNK,UNK,UNK,UWS,Eastern,Unknown,35.60986,-108.12026,Crownpoint,"1430",,,"47.9",,,,"541",,,"137","4300",,,"5.06","5.09","2060",,,,"9.77","266","68.9",,"106","2.38","0.191",,,"7.4","0.5",,,,,"2000",,,,,,,"13.2",,"2700","10.1","24.1","3.8","12.4"
CRWNPT PM6,Crownpoint BOARD. SCH. PM6,BIA,2500,"45",350,NM3534023,354103108084000,FIELD CHECKED    4/11/95,,,,"23","20",WW,DOM,ACT,REG,Eastern,Domestic,35.6840286255,-108.145744324,Crownpoint,,,"1","90",,"240",,"2.4","0","1","3.4",,,"0",,,"20",,"7","0","1.1","0.2",,"10","110",,,,"0","8.25",,"0.11",,"0.11",,,,"0",,"473.5",,"55",,,,,"0.02","1",
Crownpoint BIA PWS,BIA #5,,0,"0",0,,0,,,BIA #6,,"23","20",UNK,UNK,UNK,REG,Eastern,Unknown,35.672,-108.15624,Crownpoint,,,"1","60",,"236",,"5.5","4.5","1","2.6","543.5",,"10","10",,"10","0.305",,"0.1","2","2.32","100","10","115","10","0.02",,"1","8.515",,"0.6",,"0.6",,,,"1",,,,"73.5",,,"365.5",,"7","10","10"
15K-303,,BIA,2496,"45",225,NM3534001,354033108092000,FIELD CHECKED    4/11/95,,Old Power House,,"23","20",WW,LIV,ACT,REG,Eastern,Livestock,35.6765441894,-108.153938293,Crownpoint,"39","195","482.4","8.24","1",,,"370",,,"10.5","2890","-0.45",,,"7.99","682.5","1.129","1040","66","5.65","174.1","310","0.84","188","10.55",,"0.1",,"7",,"1.19","3.73","4.92",,"2000","6830","87.5",,,,"1940","7.9","8.9","2528","10.65","2.032835821","1.5","439.5"
15T-560,Johnson Camp Well,TRIBE O&M,1050,"27",200,"0",0,FIELD CHECKED 03/97,Moved 135m SE to structure next to Tank & dry pond on DOQQ,,,"23","20",WW,LIV,ACT,UWS,Eastern,Livestock,35.7352016732,-108.247752059,Crownpoint,"10","223","0.5","16","0.25",,,"54",,"0.5","2.7","806","0.64","0.5","2.5",,"820","0.386","226","0.015","2.8","25.54","1","0.49","99","1.9","0.05","0.05","1","8.1",,"0.486","2.54","3.026",,,"0.5","0.5",,,,"213",,"1","592","9.94","2.5","2","45"
Stockpile,Stockpile Well,,0,"0",0,,0,USACE,Added based on USACE site visit.,,,"25","8",WW,UNK,UNK,UWS,Western,Unknown,36.93612,-109.86523,Dennehotso,"222",,"8.2","9.5","2",,,"4.02",,"2",,"296",,"5","2.5",,"4050",,,"0.19","4.89","0.945","43.3",,"59.6","10",,,"1.5","10.62",,"0.053","0.301","0.354",,,"10","5",,,,,"18.4","10",,,,"1","30.8"
ArtesianWell,Artesian Well 613,,0,"0",0,,0,USACE,Artesian Well @ MM#2.  NDWR Well# 08-0648 is 180m to the SE.,,,"25","8",WW,UNK,UNK,UWS,Western,Unknown,36.9257399999,-109.86403,Dennehotso,"69.1",,"10","38.9","0.21",,,"16.5",,"2",,"479",,"5","10",,"20.6",,,"0.19","3.08","26.5","4",,"48.2","10",,,"3","8.03",,"0.043","0.368","0.411",,,"10","5",,,,,"18.3","10",,,,"0.93","8.8"
08-UNK-0011,(D-41-19)29   -S1,,0,"74",0,,371100109510000,USGS RESTON 11/09/84,,,,"25","8",DS,UNK,UNK,UWS,Western,Unknown,37.1833229065,-109.85068512,Dennehotso,,,,,,"330",,"585","0",,"72",,,,,,,"0.7","1900",,,"112",,,,,"0.7",,,"7",,,,,,,,,,"3280",,"1910",,,,,,,
08-UNKNOWN-1,,,0,"0",0,,0,,,,,"25","4",WW,UNK,UNK,UWS,Western,Unknown,36.7836190474,-109.992213982,Dennehotso,"50",,"7","5","1",,,"3.3",,"1",,"0.164",,"20","5","7","20",,,,"0.9","0.2","2","50","69","30","0.75",,"1","9.27",,,,,,"0",,"1",,,,,"19.1",,,"1","4",,"10"
08T-529,08 022-03.10X06.68,UNKNOWN,367,"40",0,,0,USGS TUCSON WRD 2/26/85,,,,"25","8",WW,DOM,UNK,UWS,Western,Domestic,36.8985266513,-109.808329809,Dennehotso,"50",,"1","13","1",,,"63",,"1",,"0.111",,"20","5","6","100",,,,"1.2","4.9","2","50","7.9","30","1.1",,"1","8.5",,,,,,"0",,"1",,,,,"20",,,"2","1",,"150"
,Tank-East Of Chapter,,0,"0",0,,0,,,,,"25","8",UNK,UNK,UNK,UWS,Western,Unknown,36.89849,-109.80828,Dennehotso,"45.7",,"10","13","2",,,"28.4",,"2",,"182",,"5","16",,"329",,,"0.05","1.32","4.91","1.6","0.000196","7.92","5.6056062635",,,"3","8.17",,"0.068","0.144","0.212",,,"10","11.16832288","0.577670265",,,,"23.1","3.6",,,"1.784631695","3.2","142"
Site 16 Cane Valley,Artesian Well Site #16,,0,"0",0,,0,,,,,"25","8",UNK,UNK,UNK,UWS,Western,Unknown,37.02007018,-109.8446541,Dennehotso,"10","207","7.5","49","0.25",,,"4.9",,"0.5","21.5","874","-1.04","0.5","2.1",,"50","0.778","37.3","0.015","1","6.23","1","6.1","220","0.5","0.05","0.05","1","8.215",,"0.905","0.343","1.248",,,"0.5","3.5",,,,,"11.2","1","612","0.223","5.7","7.9","2.5"
08-44,Baby Rock Spring 8-44,,0,"0",0,,0,,,,,"25","8",UNK,UNK,UNK,UWS,Western,Unknown,36.74713,-110.05369,Dennehotso,"2400","144","7.7","81.6","0.25",,,"5.015",,"2","3.25","423","-0.45","3.8","5.7",,"745","0.191","6.55","0.074","1.56","-0.335","28.8","1.915567647","113","0.5","0.87","0.05","3","9.06",,"0.535","0.631","1.166",,,"10","2809.89611","0.577670265",,"100.0228164","17.7","13.71","4.3","204","0.336","54.3865027","251","15.15"
09T-597,,,0,"0",0,,0,WELL FILES,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"25","8",WW,AGR,UNK,UWS,Western,Agriculture,36.7347335815,-109.681190491,Dennehotso,"50",,"2","76","1",,,"60",,"1",,"0.135",,"20","5","6","430",,,,"1.8","6.9","2","50","12","30","1.8",,"1","8.47",,,,,,"0",,"1",,,,,"21",,,"8","6",,"170"
,Kiishzhinii-be-toh Spring,,0,"0",0,,0,,,,,"25","8",UNK,UNK,UNK,UWS,Western,Unknown,36.92677,-109.86628,Dennehotso,"68.6",,"4","125","2",,,"43.5",,"2",,"653",,"5","6.8",,"1270",,,"0.071","2.91","31.3","96.4",,"80.3","10",,,"16.8","7.71",,"0.221","0.191","0.412",,,"10","5",,,,,"22.3","10",,,,"0.97","3720"
08T-536,,,0,"0",0,,0,,,,,"25","8",UNK,UNK,UNK,UWS,Western,Unknown,37.00357432,-109.77092134,Dennehotso,"50",,"4","39","1",,,"49",,"1",,"0.095",,"20","5","6","90",,,,"1.2","5.9","4","0.440480163","5.7","15.8097123695","0.29",,"1","9.28",,,,,,"0","0.255028916","12.7951342","0.577670265",,,,"20.2",,,"8","1.299183469",,"30"
08A-264,,TRIBE O&M,14.5,"1",5.2,,0,FLD CHECKED  10/26/95,Moved 18m NE to USACE location,,,"25","8",WW,LIV,ACT,UWS,Western,Livestock,36.88126,-109.9151,Dennehotso,"90.8",,"6.6","34.5","2",,,"46.8",,"2",,"983",,"5","2.2",,"95.3",,,"0.072","1.91","62","29.4",,"129","10",,,"3","8.09",,"0.019","0.275","0.294",,,"10","5",,,,,"20","10",,,,"6.9","283"
08A-245,PHS,,0,"0",0,,0,,,,,"25","8",UNK,UNK,UNK,UWS,Western,Unknown,36.8170033,-109.88074387,Dennehotso,"50",,"2","120","1",,,"110",,"1",,"0.185",,"20","15","3","60",,,,"1.1","3.9","4","50","16","30","0.9",,"1","7.84",,,,,,"0",,"2",,,,,"20.5",,,"2","16",,"60"
08T-421,,,0,"0",0,,0,,,,,"25","8",UNK,UNK,UNK,UWS,Western,Unknown,36.69591758,-109.97332853,Dennehotso,"50",,"3","5","1",,,"5",,"1",,"0.256",,"20","6","6","680",,,,"1.5","0.2","7","50","110","30","1",,"2","9.49",,,,,,"0",,"1",,,,,"20.3",,,"6","4",,"360"
08T-535,,,0,"0",0,,0,,,,,"25","8",UNK,UNK,UNK,UWS,Western,Unknown,36.98322094,-109.76085057,Dennehotso,"50",,"4","29","1",,,"69",,"1",,"0.117",,"20","7","6","60",,,,"1.2","5.9","2","0.7678611755","7.9","16.2341307225","0.62",,"1","8.86",,,,,,"0","0.333799399","14.95907902","0.577670265",,,,"20.2",,,"2","1.142862707",,"50"
08T-557,,,0,"0",0,,0,,,,,"25","8",UNK,UNK,UNK,UWS,Western,Unknown,36.85095369,-109.905932,Dennehotso,"50",,"2","49","1",,,"56",,"1",,"0.136",,"20","5","1","50",,,,"2.6","6","12","50","11","30","0.61",,"1","8.35",,,,,,"0",,"1",,,,,"20.7",,,"34","1",,"50"
,Unknown,,0,"0",0,,0,,,,,"25","8",UNK,UNK,UNK,UWS,Western,Unknown,36.88130322,-109.91510596,Dennehotso,"50",,"4","330","1",,,"135.5",,"1",,"0.3975",,"20","9","1.5","100",,,,"1.8","28.7","140","50","58.85","30","2.1",,"1","7.94",,,,,,"150",,"2",,,,,"19.945",,,"15","3",,"40"
